name,availabilityVendorId,ordersVendorId
"Sally Pharmacies, Damietta Stadium",755624,59719
"Sally Pharmacies, Damietta Stadium",783820,64136
"Sally Pharmacies, Ahmed Maher",755402,59439
"Salem Pharmacy, Sidi Gaber",760831,60382
"SALEM Pharmacies, Zahraa El Maadi - El Me'arag El Ouloy",784544,64013
"SALEM Pharmacies, Tagammoa 5 - 90 St. Companies - 2",784545,64016
"SALEM Pharmacies, New Maadi - El Nadi El Gedid",760033,60297
"SALEM Pharmacies, Nasr City - El Tayaran",759306,60144
"SALEM Pharmacies, Hyde park new cairo",759114,60143
"SALEM Pharmacies, Heliopolis - Hegaz Square",760035,60293
"SALEM Pharmacies, Faisal - Maryoteya 2",760036,60298
"SALEM Pharmacies, Downtown - Qasr El Ainy",760034,60299
"SALEM Pharmacies, Dokki - Wezaret El Zera'a",760037,60296
"Saleh El-Attar Sons, Madinaty - Work Shops",766756,64809
"Saleh El Attar Sons, El Rehab City 1",735251,64847
"Saleh El Attar Sons, El Obour - Golf Area",735250,64808
"Saleh El Attar Sons, Ard El Golf",735244,64807
"Sale Market, New Maadi - El Basateen El Sharqeya",745112,51352
"Salama Pharmacies, Semouha - Victor Emanouil",749007,54634
"Salama Pharmacies, Saba Basha",754013,59662
"Salah Salem PHARMACY, El Galaa",773057,61678
"Saidlity, Pnaios Road",772647,61588
"Saidlity, El Sheikh Zayed - Beverly Hills",717558,31748
"Saidlity, 6th Of October - 5th District",692312,27294
"Sahara Souq, El Bahr Street",697119,19199
"SAFWAT PHARMACY, El Daher",788852,64675
"Safwat Fayek Pharmacies, Downtown - Magales El Sha'ab",784053,63896
"Safeer Market, Nasr City - Hay El Sefarat",704848,20698
"Sabry Pharmacy, Roushdy",724154,38965
"Saada Pharmacy, Tagammoa 5 - Hay 3",780923,63561
"Saad Pharmacies, Azarita",765139,60770
"Saad Pharmacies, Agamy - Hanuvile",771067,61752
"RX Pharmacies, Hadayek El Ahram - Area ص",731698,43010
"Royal Plaza Market, Saba Basha",767397,61077
"Royal House, Heliopolis - Merryland 2",709523,23514
"Royal House, El Shorouk - 2nd District Sharq",712357,26039
"Rowan Market, Hay El Gama'a",761904,60442
"Roushdy Market, Roushdy",748758,54089
"Rouge Store, Meet Hadar",790731,65092
"Roshdy Pharmacy, 6th of October - Chill Out",752542,57337
"Rieaya Pharmacies, 6th of October - 1st District",780063,63513
"Rich cut, Creek Town Compound",702600,19953
"Refaat Pharmacy, Hadayek El Ahram - Area ج",717563,32046
"Reef, Masaken El Shennawy",657555,15858
Red Market,690962,18737
"Re3aya Pharmacy, Hadayek El Ahram - Area ل",740501,48429
"Re3aya Pharmacies, Tagammoa 1 - The Districts",746089,51879
